epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.023,3.02399,11.807,2.78159,0,0,0,0,4.47645,22.8253,2.56201,0.0902,0.0002,0.0002
2,247.729,3.16356,9.65831,3.02324,0,0,0,0,4.13257,20.8686,2.51848,0.0794117,0.000411684,0.000411684
3,353.235,3.32757,8.95897,3.19373,0,0,0,0,3.42675,20.4136,2.36983,0.0686147,0.000614656,0.000614656
4,445.807,3.39244,8.42304,3.15464,0.01429,0.01154,0.01516,0.0086,3.51524,20.2562,2.42914,0.0578089,0.000808916,0.000808916
5,557.385,3.50711,8.31555,3.24642,0.00169,0.03846,0.00793,0.00395,3.69102,20.0987,2.73128,0.0469945,0.000994464,0.000994464
6,687.288,3.45378,7.74533,3.25036,0.00199,0.13846,0.02058,0.01084,3.58993,17.7664,2.63036,0.0361713,0.0011713,0.0011713
7,792.617,3.66491,7.77259,3.26135,0.00187,0.15804,0.01929,0.00672,3.59865,18.6602,2.84264,0.0253394,0.00133942,0.00133942
8,889.707,3.33671,7.1613,3.26548,0.51784,0.02348,0.01336,0.00605,3.85684,22.4428,3.16286,0.0144988,0.00149884,0.00149884
9,977.959,3.63421,7.34557,3.31647,0.42824,0.05929,0.01665,0.00568,3.99099,34.0232,3.12725,0.00364954,0.00164954,0.00164954
10,1079.11,3.49716,7.21716,3.21571,0.63517,0.05882,0.02996,0.01477,3.74935,32.6382,3.04686,0.0016436,0.0016436,0.0016436
11,1177.74,3.59457,6.87313,3.30443,0.41911,0.11253,0.07355,0.03197,3.57718,39.805,2.84282,0.001604,0.001604,0.001604
12,1274.88,3.52769,6.9352,3.23702,0.24535,0.05857,0.03543,0.01729,3.71918,40.7034,2.70102,0.0015644,0.0015644,0.0015644
13,1351.48,3.52035,6.54042,3.26165,0.23798,0.05813,0.03002,0.01614,3.52405,37.486,2.66339,0.0015248,0.0015248,0.0015248
14,1435.68,3.26935,6.59172,3.1413,0.33428,0.09872,0.03904,0.01509,3.71092,37.6332,2.73407,0.0014852,0.0014852,0.0014852
15,1533.11,3.31008,6.35821,3.15278,0.55105,0.0375,0.03011,0.01422,3.91568,28.6168,2.85245,0.0014456,0.0014456,0.0014456
16,1620.4,3.30335,6.10879,3.11886,0.02202,0.1028,0.03777,0.02011,3.70977,35.668,2.63068,0.001406,0.001406,0.001406
17,1718.11,3.21224,6.12887,3.02836,0.12343,0.06923,0.04097,0.01943,3.71183,26.6204,2.58757,0.0013664,0.0013664,0.0013664
18,1820.17,3.35802,6.0437,3.0781,0.04205,0.07063,0.04631,0.02361,3.61336,29.6893,2.59935,0.0013268,0.0013268,0.0013268
19,1921.39,3.11746,6.05261,2.96181,0.03296,0.0982,0.04455,0.02293,3.59403,25.8294,2.46144,0.0012872,0.0012872,0.0012872
20,2034.85,3.04867,5.8567,2.89968,0.13857,0.02788,0.03824,0.01869,3.41691,17.9401,2.32336,0.0012476,0.0012476,0.0012476
21,2130.54,3.16554,6.09065,3.09108,0.42866,0.03173,0.03219,0.01457,3.63182,16.7683,2.39766,0.001208,0.001208,0.001208
22,2255.83,3.26858,5.92691,3.09398,0.63497,0.05577,0.04576,0.02509,3.57382,16.734,2.35707,0.0011684,0.0011684,0.0011684
23,2359.37,2.98825,5.78083,2.84999,0.23481,0.06486,0.04175,0.02414,3.65943,15.0983,2.36139,0.0011288,0.0011288,0.0011288
